,run,lumi,evtid,cat
37457,1,400,399563,eeet
37564,1,113,112522,eeet
37680,1,307,306240,eemt
37742,1,397,396577,eemt
37934,1,193,192510,eemt
38537,1,17,16519,eeem
39282,1,397,396782,mmmt
39526,1,111,110129,mmmt
39564,1,113,112275,mmmt
39593,1,193,192895,mmmt
39717,1,18,17047,mmtt
39948,1,264,263486,mmtt
39960,1,264,263931,mmtt
40155,1,73,72674,mmtt
40645,1,306,305087,mmem
