,run,lumi,evtid,cat
37585,1,264,263931,mmtt
37780,1,73,72674,mmtt
38270,1,306,305087,mmem
38575,1,409,408038,mmmt
38734,1,103,102909,eeet
38770,1,153,152181,eeet
38986,1,161,160252,eemt
39151,1,103,102700,eett
39169,1,121,120203,eett
39467,1,156,155409,eeem
39784,1,103,102815,mmmt
39893,1,153,152682,mmmt
39907,1,154,153517,mmmt
40004,1,164,163203,mmmt
40419,1,156,155406,mmtt
40746,1,162,161227,mmem
