,run,lumi,evtid
503,1,237,236426
616,1,461,460400
1014,1,479,478522
1220,1,305,304832
1355,1,304,303959
1386,1,76,75588
2437,1,186,185361
2790,1,138,137377
3892,1,215,214339
3911,1,221,220369
4115,1,7,6652
4269,1,219,218001
4304,1,315,314460
